分類,商品標籤,商品名稱,描述,價格
代理品牌,UG70334 / 名稱：綠聯 CAT6A網路線 黑色 增強版 2M,UGREEN綠聯 CAT6A網路線 黑色 增強版 2M(70334),"['◆UGR-70334', '◆直徑2.8mm纖細線身 讓佈線更方便，32AWG純銅線芯 低阻抗損耗小', '◆4對雙絞線芯 抗干擾不衰減，純銅鍍金觸點 三叉式芯片更快更穩']",149 元
代理品牌,UG50744 / 名稱：綠聯 2 Port HDMI KVM電腦切換器 (50744),UGREEN綠聯 2 Port HDMI KVM電腦切換器 (50744),"['◆原廠編號：50744', '◆一套鍵鼠控制2台電腦 ◆兩台電腦共享1台印表機 ◆自動切換三種切換方式', '◆4K*2K超清視頻 還原細節 ◆即插即用 支援熱插拔']",1499 元
代理品牌,UG40234 / 名稱：綠聯 三進一出 4K HDMI切換器(40,UGREEN綠聯 三進一出 4K HDMI切換器(40234),"['◆UGR-40234', '◆無線遙控，隨時掌握，多設備同時連接', '◆主動晶片，4K高清畫質']",799 元
代理品牌,UG20161 / 名稱：綠聯 CAT6網路線 黑色 3M,UGREEN綠聯 3M CAT6網路線 黑色 (20161),"['◆適合所有RJ45網路線接口設備', '◆十字骨架隔離 ◆8芯雙絞線結構', '◆26AWG超粗線芯 ◆環保PVC材質']",99 元
代理品牌,UG20159 / 名稱：綠聯 CAT6網路線 黑色 1M,UGREEN綠聯 1M CAT6網路線 黑色 (20159),"['◆適合所有RJ45網路線接口設備', '◆十字骨架隔離 ◆8芯雙絞線結構', '◆26AWG超粗線芯 ◆環保PVC材質']",99 元
喇叭,KTSK2009BK / 名稱：Q5 木質二件式USB喇叭 黑,KTNET-Q5 木質二件式USB多媒體喇叭 黑 木質喇叭/攜帶喇叭/小型喇叭/造型喇叭/桌上喇叭/電腦喇叭/筆電喇叭/USB喇叭/雙聲道喇叭/迷你喇叭/有線喇叭/音箱/音響/立體聲/環繞音效/3.5mm音源輸出,"['◆立木質音箱，高中低音層次分明', '◆雙聲道，立體聲環繞音效', '◆USB供電，即插即用']",299 元
喇叭,KTSK2020-01BK / 名稱：Q61 USB二件式多媒體有線喇叭,多媒體 立體音效 便攜式 USB供電 即插即用 二件式 高低音 3.5mm音訊輸出,"['◆高中低音層次分明', '◆USB供電，即插即用.輕巧方便攜帶', '◆雙聲道，立體聲環繞音效']",199 元
喇叭,KTSK2021-01BK / 名稱：Q21 USB二件式迷你多媒體喇叭,多媒體喇叭 即插即用 USB造型喇叭 桌上喇叭 電腦喇叭 筆電喇叭 USB供電,"['◆USB供電，即插即用', '◆迷你輕巧方便攜帶', '◆3.5AUX端子可連接3.5mm音訊設備']",169 元
喇叭,KTSK2021-Q51BR / 名稱：Q51 木質二件式USB喇叭 布網 棕,KTNET-Q51 木質二件式USB多媒體喇叭 棕 木質喇叭/攜帶喇叭/小型喇叭/造型喇叭/桌上喇叭/電腦喇叭/筆電喇叭/USB喇叭/雙聲道喇叭/迷你喇叭/有線喇叭/音箱/音響/立體聲/環繞音效/3.5mm音源輸出,"['◆木質音箱，高中低音層次分明', '◆雙聲道，立體聲環繞音效', '◆USB供電，即插即用']",349 元
喇叭,KYBTS-735BK / 名稱：【KINYO】藍牙5.0音箱-黑(BTS-735),【KINYO】藍牙5.0音箱-黑(BTS-735),"['雙喇叭、雙震膜，立體環繞音效', '單鍵免持接聽電話，內建高感度麥克風', '具USB隨身碟插槽、TF卡插槽，插入直接撥放音樂。(支援最高容量32G) 具3.5mm插孔(如手機/電腦/MP3)的設備播放音樂。']",1199 元
喇叭,KYBTS-735W / 名稱：【KINYO】藍牙5.0音箱-白(BTS-735),【KINYO】藍牙5.0音箱-白(BTS-735),"['雙喇叭、雙震膜，立體環繞音效', '單鍵免持接聽電話，內建高感度麥克風', '具USB隨身碟插槽、TF卡插槽，插入直接撥放音樂。(支援最高容量32G) 具3.5mm插孔(如手機/電腦/MP3)的設備播放音樂。']",1199 元
